Name,Date,Review,People_Found_Helpful
deepali biswas,"May 27, 2022",The department selection list is absolutely blank. The only way to find out what you are selecting is clicking it one by one and see the final heading. If its not your interested department then try hidden and trial method each time. Very disappointed. I wish i could add an attachment of the screen shot in this review.,215
surendra kumar,"January 10, 2025","very poor performance.i have registered 4complaints in this app, all were addressed, i unstalled it . now when i register with same mobile it shows no complaint registered with this mobile number. Data should be provided/ linked for registered mobile number so that individual can refer it at any time. still no improvement in app after 3 month of suggestion.",104
keep walking keep smiling,"March 14, 2025",Even after selection on English language option of department is in Hindi. There is no option to mention issue without selection of department. It becomes difficult to search specific category. I have land related issue.,6
Arora Arora,"February 25, 2025",Jan sunwai application automatically auto rotate. It results to delete all entered entries. Application doesn't have all wards entered. Sometimes application hanging issues issue and automatically close.,6
AVJEET SINGH YADAV,"January 1, 2025","The corrupt app has not provided any response. I lodged a complaint two months ago, but the issue still hasn't been resolved. Now it seems like all government employees have become corrupt. Nothing is going to improve in this state or country anymore.",26
Ravi Jauhari,"November 4, 2024",This app is good and useful but there is no system of uploading written complaints with enclosure. There is still no proper system to sttach documents. Today on 04-11 - 2024 I registered a complaint but couldn't upload 2 pages of typed documents.,8
Nasir Ansari,"March 26, 2025","you have to wait for 4-8 days for gets update of your grievance but one thing missed in this app the department of railway , doesn't have any option to complaint or demand in the indian railways , apart from that its working for some departments like - scholarship, roadways , etc
1 person found this review helpful",0
Dhruv,"November 14, 2024","Who is the developer and tester of this application. I have also built mobile apps but this one is of too poor quality. Lots of bugs. I am unable to login after update, not receiving otps. U should do proper testing before deployment.",5
shashikant madheshiya,"March 6, 2025","Complaints are being special closed without any feedback options. Higher officeer are not involved. Without any enquiry, 99% complaints disposed off even without reading the complaint. Portal is only for show off and without bribery no SUNWAI/ NYAY",9
Arvind Vaish,"March 7, 2025",This is a very bad app. Nobody ccan lodge any complaint in this app because without mobile number it does not fgo ahead and mobile number window does not open. This app is juist to make fool the public.,7
Anpay Dwivedi,"November 22, 2024","It is a wonderful portal which allow us to raise the complaint without physical visit the the respective office. Also the online visibility compel the government employees to work efficiently. There are some technical and Sarkari system issue. However, it is a good initiative which is working",76
Ram Babu,"October 26, 2024",It is revealed that system is very good but it is not workable As official feed irrelevant reply. I experienced after writing a lot of requests for a chakmarg which is occupied by dabangs for cultvations. But officals had not paid anyheed. They replied a laughable and irrelevant.kindly feedback may read by responsible and appropriate actions may be taken.,11
PRAVESH KUMAR MISHRA,"November 20, 2024","Synchronisation issue exists in the app. Officials are very eager to close the complaint without practically audit and inspection. Even the very next day of putting complaint, officials updated the status of application (निस्तारित) without proper inspection of the matter to remain first in Index of JANSUNWAYI COMPLAINT SOLUTION. Although if the officials ordered the enquiry and that's in progress they updated application status as Complete or निस्तारित। Corruption is on high.",9
Mahendra Singh,"March 9, 2025","Your proforma to register grievance do not accept mobile no. at column mentioned for mobile no. I. kindly rectify it so that mob.no.may be entered in column mentioned for mobile no. 1.
1 person found this review helpful",0
